InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Customer,Country
536365,85123.0,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/2010 08:26,2.55,17850.0,United Kingdom
536365,71053.0,WHITE METAL LANTERN,6,12/01/2010 08:26,3.39,17850.0,United Kingdom
536365,84406.0,CREAM CUPID HEARTS COAT HANGER,8,12/01/2010 08:26,2.75,17850.0,United Kingdom
536365,84029.0,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/01/2010 08:26,3.39,17850.0,United Kingdom
536365,84029.0,RED WOOLLY HOTTIE WHITE HEART.,6,12/01/2010 08:26,3.39,17850.0,United Kingdom
536365,22752.0,SET 7 BABUSHKA NESTING BOXES,2,12/01/2010 08:26,7.65,17850.0,United Kingdom
536365,21730.0,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/01/2010 08:26,4.25,17850.0,United Kingdom
536366,22633.0,HAND WARMER UNION JACK,6,12/01/2010 08:28,1.85,17850.0,United Kingdom
536366,22632.0,HAND WARMER RED POLKA DOT,6,12/01/2010 08:28,1.85,17850.0,United Kingdom
536367,84879.0,ASSORTED COLOUR BIRD ORNAMENT,32,12/01/2010 08:34,1.69,13047.0,United Kingdom
536367,22745.0,POPPY'S PLAYHOUSE BEDROOM ,6,12/01/2010 08:34,2.1,13047.0,United Kingdom
536367,22748.0,POPPY'S PLAYHOUSE KITCHEN,6,12/01/2010 08:34,2.1,13047.0,United Kingdom
536367,22749.0,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12/01/2010 08:34,3.75,13047.0,United Kingdom
536367,22310.0,IVORY KNITTED MUG COSY ,6,12/01/2010 08:34,1.65,13047.0,United Kingdom
536367,84969.0,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/01/2010 08:34,4.25,13047.0,United Kingdom
536367,22623.0,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/01/2010 08:34,4.95,13047.0,United Kingdom
536367,22622.0,BOX OF VINTAGE ALPHABET BLOCKS,2,12/01/2010 08:34,9.95,13047.0,United Kingdom
536367,21754.0,HOME BUILDING BLOCK WORD,3,12/01/2010 08:34,5.95,13047.0,United Kingdom
536367,21755.0,LOVE BUILDING BLOCK WORD,3,12/01/2010 08:34,5.95,13047.0,United Kingdom
536367,21777.0,RECIPE BOX WITH METAL HEART,4,12/01/2010 08:34,7.95,13047.0,United Kingdom
536367,48187.0,DOORMAT NEW ENGLAND,4,12/01/2010 08:34,7.95,13047.0,United Kingdom
536368,22960.0,JAM MAKING SET WITH JARS,6,12/01/2010 08:34,4.25,13047.0,United Kingdom
536368,22913.0,RED COAT RACK PARIS FASHION,3,12/01/2010 08:34,4.95,13047.0,United Kingdom
536368,22912.0,YELLOW COAT RACK PARIS FASHION,3,12/01/2010 08:34,4.95,13047.0,United Kingdom
536368,22914.0,BLUE COAT RACK PARIS FASHION,3,12/01/2010 08:34,4.95,13047.0,United Kingdom
536369,21756.0,BATH BUILDING BLOCK WORD,3,12/01/2010 08:35,5.95,13047.0,United Kingdom
536370,22728.0,ALARM CLOCK BAKELIKE PINK,24,12/01/2010 08:45,3.75,12583.0,France
536370,22727.0,ALARM CLOCK BAKELIKE RED ,24,12/01/2010 08:45,3.75,12583.0,France
536370,22726.0,ALARM CLOCK BAKELIKE GREEN,12,12/01/2010 08:45,3.75,12583.0,France
536370,21724.0,PANDA AND BUNNIES STICKER SHEET,12,12/01/2010 08:45,0.85,12583.0,France
536370,21883.0,STARS GIFT TAPE ,24,12/01/2010 08:45,0.65,12583.0,France
536370,10002.0,INFLATABLE POLITICAL GLOBE ,48,12/01/2010 08:45,0.85,12583.0,France
536370,21791.0,VINTAGE HEADS AND TAILS CARD GAME ,24,12/01/2010 08:45,1.25,12583.0,France
536370,21035.0,SET/2 RED RETROSPOT TEA TOWELS ,18,12/01/2010 08:45,2.95,12583.0,France
536370,22326.0,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/01/2010 08:45,2.95,12583.0,France
536370,22629.0,SPACEBOY LUNCH BOX ,24,12/01/2010 08:45,1.95,12583.0,France
536370,22659.0,LUNCH BOX I LOVE LONDON,24,12/01/2010 08:45,1.95,12583.0,France
536370,22631.0,CIRCUS PARADE LUNCH BOX ,24,12/01/2010 08:45,1.95,12583.0,France
536370,22661.0,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/01/2010 08:45,0.85,12583.0,France
536370,21731.0,RED TOADSTOOL LED NIGHT LIGHT,24,12/01/2010 08:45,1.65,12583.0,France
536370,22900.0, SET 2 TEA TOWELS I LOVE LONDON ,24,12/01/2010 08:45,2.95,12583.0,France
536370,21913.0,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/01/2010 08:45,3.75,12583.0,France
536370,22540.0,MINI JIGSAW CIRCUS PARADE ,24,12/01/2010 08:45,0.42,12583.0,France
536370,22544.0,MINI JIGSAW SPACEBOY,24,12/01/2010 08:45,0.42,12583.0,France
